0,0.01,0.034883,0.074013,0.121224,0.173221,0.226258,0.282405,0.332916,0.380226
1e-16,1,1,1,1,0.96,0.99,0.9,0.94,0.86
1e-14,1,1,1,1,1,1,1,0.99,0.99
1e-12,1,1,1,1,1,1,1,1,1
1e-10,1,1,1,1,1,1,1,1,1
1e-08,1,1,1,1,1,1,1,1,1
1e-06,1,1,1,1,1,1,1,1,1
0.0001,1,1,1,1,1,1,1,1,1
0.01,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
